wikidata_iri,name,depth,wikipedia_page_id,wikipedia_url
wd:Q41493,Ancient history,3,51320,https://en.wikipedia.org/?curid=51320
wd:Q131130,Anesthesia,4,56561,https://en.wikipedia.org/?curid=56561
wd:Q615057,Anesthesiology,3,417068,https://en.wikipedia.org/?curid=417068
wd:Q539690,Angiology,3,2374165,https://en.wikipedia.org/?curid=2374165
wd:Q4764025,Angular momentum of light,4,33149847,https://en.wikipedia.org/?curid=33149847
wd:Q80962,Animal husbandry,3,219640,https://en.wikipedia.org/?curid=219640
wd:Q131214,Antenna (radio),4,187317,https://en.wikipedia.org/?curid=187317
wd:Q29407,Anthropological linguistics,4,320063,https://en.wikipedia.org/?curid=320063
wd:Q23404,Anthropology,2,569,https://en.wikipedia.org/?curid=569
wd:Q3618758,Anti-politics,4,45670539,https://en.wikipedia.org/?curid=45670539
wd:Q217302,Application-specific integrated circuit,4,147845,https://en.wikipedia.org/?curid=147845
wd:Q621607,Applied behavior analysis,4,1781075,https://en.wikipedia.org/?curid=1781075
wd:Q3296256,Applied economics,3,5944849,https://en.wikipedia.org/?curid=5944849
wd:Q538733,Applied ethics,4,988,https://en.wikipedia.org/?curid=988
wd:Q321249,Applied linguistics,3,406551,https://en.wikipedia.org/?curid=406551
wd:Q538904,Applied psychology,3,326313,https://en.wikipedia.org/?curid=326313
wd:Q774123,Approximation theory,4,1092713,https://en.wikipedia.org/?curid=1092713
wd:Q188989,Aquaculture,3,1634,https://en.wikipedia.org/?curid=1634
wd:Q127213,Arboriculture,4,289895,https://en.wikipedia.org/?curid=289895
wd:Q23498,Archaeology,3,18951655,https://en.wikipedia.org/?curid=18951655
wd:Q2305951,Architectural acoustics,4,1028926,https://en.wikipedia.org/?curid=1028926
wd:Q4787046,Architectural design values,4,17102646,https://en.wikipedia.org/?curid=17102646
wd:Q150737,Architectural engineering,3,19278728,https://en.wikipedia.org/?curid=19278728
wd:Q32880,Architectural style,3,44331442,https://en.wikipedia.org/?curid=44331442
wd:Q47537,Architectural theory,3,3704899,https://en.wikipedia.org/?curid=3704899
wd:Q12271,Architecture,2,21296224,https://en.wikipedia.org/?curid=21296224
wd:Q635319,Architecture criticism,4,18364057,https://en.wikipedia.org/?curid=18364057
wd:Q11205,Arithmetic,3,3118,https://en.wikipedia.org/?curid=3118
wd:Q735,Art,2,752,https://en.wikipedia.org/?curid=752
wd:Q50637,Art history,4,21207536,https://en.wikipedia.org/?curid=21207536
wd:Q3520855,Arthropodology,4,19922061,https://en.wikipedia.org/?curid=19922061
wd:Q2264109,Artificial general intelligence,4,586357,https://en.wikipedia.org/?curid=586357
